Country Name,Country Code,Series Name,Series Code,2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Albania,ALB,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,3.2,3.2,..,..,..
Algeria,DZA,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
American Samoa,ASM,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Andorra,AND,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Angola,AGO,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Antigua and Barbuda,ATG,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Argentina,ARG,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,4.1,5,3.7,3.3,..
Armenia,ARM,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,15.2,14.1,14.4,15,..
Aruba,ABW,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Australia,AUS,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Austria,AUT,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,0.7,0.8,0.5,..,..
Azerbaijan,AZE,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
"Bahamas, The",BHS,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Bahrain,BHR,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Bangladesh,BGD,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,29.7,..
Barbados,BRB,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Belarus,BLR,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,0.3,0.2,..,..,..
Belgium,BEL,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,0.1,0.1,0.1,..,..
Belize,BLZ,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Benin,BEN,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,37.8,..,..
Bermuda,BMU,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Bhutan,BTN,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,1.7,..
Bolivia,BOL,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,5.8,6.6,5.4,..,..
Bosnia and Herzegovina,BIH,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Botswana,BWA,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Brazil,BRA,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,11,6.3,11.7,9,..
British Virgin Islands,VGB,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Brunei Darussalam,BRN,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Bulgaria,BGR,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,2.8,1.6,2.2,..,..
Burkina Faso,BFA,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,47.9,..,..
Burundi,BDI,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,67.6,..,..,..
Cabo Verde,CPV,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Cambodia,KHM,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Cameroon,CMR,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,39.4,..,..
Canada,CAN,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,0.4,..,..,..,..
Cayman Islands,CYM,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Central African Republic,CAF,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,69.5,..,..
Chad,TCD,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,50.1,..
